seed	classification	layout_id	rank_cells	count	total	frequency
0	straight	mask_05d7	0,1,2,4,6,7,8,10	84	18815065	4.4645075634870251e-06
0	straight	mask_05db	0,1,3,4,6,7,8,10	30	18815065	1.5944669869596517e-06
0	straight	mask_05dd	0,2,3,4,6,7,8,10	2	18815065	1.0629779913064345e-07
0	straight	mask_05de	1,2,3,4,6,7,8,10	135	18815065	7.1751014413184325e-06
0	straight	mask_05e7	0,1,2,5,6,7,8,10	1960	18815065	0.00010417184314803058
0	straight	mask_05eb	0,1,3,5,6,7,8,10	308	18815065	1.6369861066119091e-05
0	straight	mask_05ed	0,2,3,5,6,7,8,10	280	18815065	1.4881691878290083e-05
0	straight	mask_05ee	1,2,3,5,6,7,8,10	1227	18815065	6.521369976664975e-05
0	straight	mask_05f3	0,1,4,5,6,7,8,10	798	18815065	4.2412821853126738e-05
0	straight	mask_05f5	0,2,4,5,6,7,8,10	329	18815065	1.7485987956990847e-05
0	straight	mask_05f6	1,2,4,5,6,7,8,10	3630	18815065	0.00019293050542211785
0	straight	mask_05f9	0,3,4,5,6,7,8,10	48	18815065	2.5511471791354429e-06
0	straight	mask_05fa	1,3,4,5,6,7,8,10	1215	18815065	6.4575912971865897e-05
0	straight	mask_05fc	2,3,4,5,6,7,8,10	179	18815065	9.5136530221925883e-06
0	straight	mask_063f	0,1,2,3,4,5,9,10	85208	18815065	0.0045287114341619333
0	straight	mask_065f	0,1,2,3,4,6,9,10	26917	18815065	0.0014306089295997649
0	straight	mask_066f	0,1,2,3,5,6,9,10	25725	18815065	0.0013672554413179014
0	straight	mask_0677	0,1,2,4,5,6,9,10	11896	18815065	0.00063225930922906719
0	straight	mask_067b	0,1,3,4,5,6,9,10	2978	18815065	0.0001582774229055281
0	straight	mask_067d	0,2,3,4,5,6,9,10	2235	18815065	0.00011878779052849405
0	straight	mask_067e	1,2,3,4,5,6,9,10	15738	18815065	0.00083645738135903331
0	straight	mask_069f	0,1,2,3,4,7,9,10	917	18815065	4.8737540901400023e-05
0	straight	mask_06b7	0,1,2,4,5,7,9,10	692	18815065	3.6779038499202634e-05
0	straight	mask_06bb	0,1,3,4,5,7,9,10	31	18815065	1.6476158865249734e-06
0	straight	mask_06bd	0,2,3,4,5,7,9,10	115	18815065	6.1121234500119987e-06
0	straight	mask_06be	1,2,3,4,5,7,9,10	461	18815065	2.4501642699613315e-05
0	straight	mask_06f3	0,1,4,5,6,7,9,10	2047	18815065	0.00010879579741021358
0	straight	mask_06f5	0,2,4,5,6,7,9,10	1873	18815065	9.9547888885847592e-05
0	straight	mask_06f6	1,2,4,5,6,7,9,10	7446	18815065	0.00039574670616338557
0	straight	mask_06f9	0,3,4,5,6,7,9,10	175	18815065	9.3010574239313017e-06
0	straight	mask_071f	0,1,2,3,4,8,9,10	10199	18815065	0.00054206562666671624
0	straight	mask_072f	0,1,2,3,5,8,9,10	1613	18815065	8.5729174998863943e-05
0	straight	mask_073b	0,1,3,4,5,8,9,10	510	18815065	2.710593877831408e-05
0	straight	mask_073d	0,2,3,4,5,8,9,10	503	18815065	2.6733896481356827e-05
0	straight	mask_073e	1,2,3,4,5,8,9,10	1236	18815065	6.5692039862737657e-05
0	straight	mask_074f	0,1,2,3,6,8,9,10	455	18815065	2.4182749302221385e-05
0	straight	mask_0757	0,1,2,4,6,8,9,10	322	18815065	1.7113945660033594e-05
0	straight	mask_075b	0,1,3,4,6,8,9,10	276	18815065	1.4669096280028797e-05
0	straight	mask_075d	0,2,3,4,6,8,9,10	21	18815065	1.1161268908717563e-06
0	straight	mask_075e	1,2,3,4,6,8,9,10	266	18815065	1.4137607284375578e-05
0	straight	mask_0767	0,1,2,5,6,8,9,10	2683	18815065	0.00014259849753375819
0	straight	mask_076b	0,1,3,5,6,8,9,10	531	18815065	2.8222065669185837e-05
0	straight	mask_076d	0,2,3,5,6,8,9,10	307	18815065	1.6316712166553771e-05
0	straight	mask_076e	1,2,3,5,6,8,9,10	894	18815065	4.7515116211397623e-05
0	straight	mask_0776	1,2,4,5,6,8,9,10	3312	18815065	0.00017602915536034556
0	straight	mask_0779	0,3,4,5,6,8,9,10	724	18815065	3.8479803285292926e-05
0	straight	mask_077a	1,3,4,5,6,8,9,10	1551	18815065	8.2433943225813998e-05
0	straight	mask_077c	2,3,4,5,6,8,9,10	732	18815065	3.89049944818155e-05
0	straight	mask_078f	0,1,2,3,7,8,9,10	1963	18815065	0.00010433128984672655
0	straight	mask_0797	0,1,2,4,7,8,9,10	15	18815065	7.9723349347982587e-07
